t,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll_deg,Pitch_deg,Yaw_deg,Ax_w,Ay_w,Az_w,VelX,VelY,VelZ,PosX,PosY,PosZ,|a_body|,|a_world|
0.0,5.061,2.533,7.992,0.19208,-0.27942,-0.18256,16.232,-35.75,-160.768,-4.2623382461854185,-2.454692686260206,-1.354407107140928,0.0,0.0,0.0,0.0,0.0,0.0,9.792950219418048,5.101711685380525
0.01,5.061,2.533,7.992,0.19208,-0.27942,-0.18256,16.166,-35.728,-160.765729088,-4.246343808410106,-2.4656053551966592,-1.3310578913399282,-0.042463438084101066,-0.024656053551966595,-0.013310578913399283,-0.00042463438084101065,-0.00024656053551966594,-0.00013310578913399283,9.792950219418048,5.087470945066476
0.02,4.98,2.447,8.131,0.19208,-0.27942,-0.18256,16.106,-35.706,-160.76345817600003,-4.233282123073147,-2.4777690134424075,-1.3111315508347479,-0.08479625931483253,-0.04943374368639067,-0.026421894421746764,-0.001272596973989336,-0.0007408979723835727,-0.0003973247333514605,9.843849348705008,5.077310583478264
0.03,4.98,2.447,8.131,0.19208,-0.27942,-0.18256,16.040000000000003,-35.695,-160.76118726400003,-4.223008953673614,-2.490966994057654,-1.2943665366968211,-0.12702634885156866,-0.07434341362696721,-0.03936555978871498,-0.0025428604625050226,-0.001484332108653245,-0.0007909803312386103,9.843849348705008,5.070907800346271
0.04,4.827,2.61,8.102,0.19208,-0.27942,-0.18256,15.980000000000002,-35.689,-160.759116352,-4.215380063710583,-2.5049826301026017,-1.2805012999975827,-0.1691801494886745,-0.09939323992799323,-0.052170572788690805,-0.004234661957391767,-0.0024782645079331773,-0.0013126860591255183,9.785419408487304,5.067943432788086
0.05,4.827,2.61,8.102,0.19208,-0.27942,-0.18256,15.919000000000002,-35.7,-160.75706544000002,-4.210251216683127,-2.519599254637454,-1.2692742918084674,-0.21128266165550577,-0.12458923247436778,-0.06486331570677548,-0.006347488573946825,-0.003724156832676855,-0.001961319216193273,9.785419408487304,5.068101512341406
0.06,4.985,2.614,8.083,0.19208,-0.27942,-0.18256,15.858999999999998,-35.722,-160.755114528,-4.20747817609032,-2.5346002007224135,-1.2604239632009098,-0.253357443416409,-0.1499352344815919,-0.07746755533878458,-0.008881063008110915,-0.005223509177492774,-0.0027359947695811187,9.849777154839597,5.071068856443335
0.07,4.985,2.614,8.083,0.19208,-0.27942,-0.18256,15.787000000000003,-35.755,-160.75318361600003,-4.206916705431237,-2.549768801417684,-1.2536887652463444,-0.29542661047072133,-0.17543292249576875,-0.09000444299124802,-0.011835329112818128,-0.006977838402450462,-0.003636039199493599,9.849777154839597,5.07653470659113
0.08,5.148,2.466,8.131,0.19208,-0.27942,-0.18256,15.720999999999998,-35.777,-160.75123270400005,-4.20842256820495,-2.564888389783468,-1.248807149016206,-0.33751083615277083,-0.20108180639360343,-0.10249251448141009,-0.015210437474345837,-0.008988656466386497,-0.0046609643443077,9.934597173514385,5.084190423268661
0.09,5.148,2.466,8.131,0.19208,-0.27942,-0.18256,15.65,-35.788,-160.74906179200002,-4.211851527910536,-2.5797422988799688,-1.2455175655819293,-0.3796293514318762,-0.22687922938240312,-0.11494769013722939,-0.0190067309886646,-0.011257448760210528,-0.005810441245679993,9.934597173514385,5.093729245647628
0.1,5.061,2.634,8.03,0.19208,-0.27942,-0.18256,15.573,-35.793,-160.74679088000002,-4.2170593480470675,-2.594113861767389,-1.2435584660149486,-0.4217999449123469,-0.252820368000077,-0.12738327479737888,-0.02322473043778807,-0.013785652440211299,-0.007084273993653782,9.850511509561318,5.10484612218256
0.11,5.061,2.634,8.03,0.19208,-0.27942,-0.18256,15.496,-35.793,-160.744299968,-4.22390179211362,-2.607786411505933,-1.2426683013866988,-0.4640389628334831,-0.2788982321151363,-0.13980995781124586,-0.0278651200661229,-0.01657463476136266,-0.00848237357176624,9.850511509561318,5.117237616598133
0.12,5.057,2.557,8.126,0.19208,-0.27942,-0.18256,15.419,-35.793,-160.74200905600003,-4.23223462360926,-2.6205432811557987,-1.2425855227686122,-0.5063613090695758,-0.3051036649266943,-0.152235813038932,-0.03292873315681866,-0.019625671410629604,-0.01000473170215556,9.906733770521948,5.1306018924763555
0.13,5.057,2.557,8.126,0.19208,-0.27942,-0.18256,15.342,-35.799,-160.739858144,-4.24224670686954,-2.634508788915995,-1.24682750621072,-0.5487837761382712,-0.33144875281585423,-0.1647040881010392,-0.03841657091820137,-0.022940158938788147,-0.011651772583165953,9.906733770521948,5.147025598446614
0.14,5.028,2.567,8.207,0.19208,-0.27942,-0.18256,15.271000000000003,-35.81,-160.73778723200002,-4.261911774569831,-2.642273655869974,-1.2489895711120185,-0.5914028938839695,-0.357871489374554,-0.1771939838121594,-0.04433059985704107,-0.026518873832533686,-0.013423712421287547,9.9611807533043,5.167734222603561
0.15,5.028,2.567,8.207,0.19208,-0.27942,-0.18256,15.194000000000003,-35.832,-160.73573632000006,-4.2812134859001345,-2.6419063641515725,-1.244914476020477,-0.6342150287429709,-0.38429055301606974,-0.18964312857236415,-0.05067275014447078,-0.030361779362694383,-0.015320143707011189,9.9611807533043,5.182496522083069
0.16,5.167,2.523,8.174,0.22134,-0.27502,-0.18213,15.127999999999998,-35.859,-160.73390119400003,-4.300769515555832,-2.645502839405338,-1.2443802854386308,-0.6772227238985292,-0.41074558141012313,-0.20208693142675047,-0.05744497738345607,-0.034469235176795614,-0.017341013021278693,9.993882829010953,5.200364025145199
0.17,5.167,2.523,8.174,0.22134,-0.27502,-0.18213,15.062,-35.892,-160.73228606800004,-4.306736902438365,-2.6515089861178383,-1.2416346652893417,-0.7202900929229129,-0.4372606712713015,-0.2145032780796439,-0.0646478783126852,-0.03884184188950863,-0.019486045802075132,9.993882829010953,5.207700000224305
0.18,5.162,2.543,8.092,0.22134,-0.27502,-0.18213,15.002,-35.925,-160.730650942,-4.307311556102583,-2.6535119857933527,-1.24012134636561,-0.7633632084839388,-0.4637957911292351,-0.2269044915433,-0.07228151039752459,-0.04347979980080098,-0.021755090717508134,9.929428835537319,5.2088347692929835
0.19,5.162,2.543,8.092,0.22134,-0.27502,-0.18213,14.952,-35.964,-160.72925581599998,-4.31351873752618,-2.658380526927691,-1.236709665900654,-0.8064983958592006,-0.490379596398512,-0.23927158820230654,-0.0803464943561166,-0.0483835957647861,-0.0241478065995312,9.929428835537319,5.215638189394459
0.2,5.157,2.466,8.083,0.22134,-0.27502,-0.18213,14.914,-35.997,-160.72786069,-4.3135396148359835,-2.6575669594898645,-1.229675717304469,-0.8496337920075604,-0.5169552659934106,-0.2515683453753512,-0.0888428322761922,-0.053553148424720205,-0.02666349005328471,9.900035050443003,5.21357732489505
0.21,5.157,2.466,8.083,0.22134,-0.27502,-0.18213,14.881,-36.024,-160.726445564,-4.327736494589556,-2.652908889294375,-1.219859819686222,-0.8929111569534559,-0.5434843548863544,-0.2637669435722134,-0.09777194384572677,-0.05898799197358375,-0.029301159489006846,9.900035050443003,5.220659605948689
0.22,5.229,2.466,8.126,0.22134,-0.27502,-0.18213,14.843000000000002,-36.046,-160.72517043799996,-4.344788737747029,-2.6479678744606874,-1.2079270309375791,-0.9363590443309262,-0.5699640336309613,-0.2758462138815892,-0.10713553428903602,-0.06468763230989337,-0.032059621627822735,9.972736485037595,5.229532555773885
0.23,5.229,2.466,8.126,0.22134,-0.27502,-0.18213,14.804,-36.063,-160.72375531199998,-4.354974913851164,-2.653618467183393,-1.2001298008214758,-0.9799087934694378,-0.5965002183027952,-0.28784751188980395,-0.1169346222237304,-0.07065263449292132,-0.03493809674672078,9.972736485037595,5.239065661782594
0.24,5.306,2.418,8.236,0.22134,-0.27502,-0.18213,14.766000000000002,-36.068,-160.72246018599998,-4.359532303186997,-2.656470375142323,-1.1983392759448694,-1.0235041165013077,-0.6230649220542185,-0.29983090464925266,-0.12716966338874347,-0.07688328371346351,-0.03793640579321331,10.091187046130896,5.243889184261219
