timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
1745167814.6584196,5.028,-5.143,7.092,-35.046,-31.207,-80.414,0.64597,-0.38083,-0.00378,-0.6615
1745167814.7200277,5.301,-5.181,6.977,-35.057,-31.207,-80.327,0.64597,-0.38083,-0.00378,-0.6615
1745167814.7200277,5.301,-5.181,6.977,-35.068,-31.207,-80.233,0.64597,-0.38083,-0.00378,-0.6615
1745167814.721029,5.239,-5.143,6.991,-35.074,-31.223,-80.178,0.64597,-0.38083,-0.00378,-0.6615
1745167814.721029,5.239,-5.143,6.991,-35.079,-31.234,-80.123,0.64597,-0.38083,-0.00378,-0.6615
1745167814.722029,5.224,-4.932,7.015,-35.079,-31.251,-80.068,0.64597,-0.38083,-0.00378,-0.6615
1745167814.722029,5.224,-4.932,7.015,-35.074,-31.267,-80.013,0.64597,-0.38083,-0.00378,-0.6615
1745167814.723029,5.239,-4.942,6.938,-35.079,-31.267,-79.92,0.64597,-0.38083,-0.00378,-0.6615
1745167814.749228,5.239,-4.942,6.938,-35.085,-31.262,-79.827,0.64597,-0.38083,-0.00378,-0.6615
1745167814.749228,5.602,-5.061,6.665,-35.096,-31.251,-79.761,0.65213,-0.38748,-0.01077,-0.65143
1745167814.7504814,5.602,-5.061,6.665,-35.107,-31.245,-79.695,0.65213,-0.38748,-0.01077,-0.65143
1745167814.7504814,5.353,-4.851,6.867,-35.096,-31.229,-79.656,0.65213,-0.38748,-0.01077,-0.65143
1745167814.751483,5.353,-4.851,6.867,-35.085,-31.212,-79.618,0.65213,-0.38748,-0.01077,-0.65143
1745167814.751483,5.133,-4.879,7.005,-35.068,-31.19,-79.541,0.65213,-0.38748,-0.01077,-0.65143
1745167814.752483,5.133,-4.879,7.005,-35.057,-31.163,-79.459,0.65213,-0.38748,-0.01077,-0.65143
1745167814.7534835,5.329,-5.239,6.752,-35.052,-31.124,-79.382,0.65213,-0.38748,-0.01077,-0.65143
1745167814.8260915,5.329,-5.239,6.752,-35.052,-31.086,-79.31,0.65213,-0.38748,-0.01077,-0.65143
1745167814.9488783,5.392,-4.913,6.704,-35.041,-31.058,-79.288,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0144918,5.392,-4.913,6.704,-35.03,-31.036,-79.272,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0144918,4.918,-4.702,7.053,-35.03,-31.031,-79.283,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0154924,4.918,-4.702,7.053,-35.024,-31.025,-79.294,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0154924,4.956,-4.702,7.025,-35.019,-30.992,-79.206,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0164933,4.956,-4.702,7.025,-35.013,-30.959,-79.118,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0164933,5.282,-4.736,6.814,-34.997,-30.916,-79.041,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0174913,5.282,-4.736,6.814,-34.986,-30.866,-78.97,0.65213,-0.38748,-0.01077,-0.65143
1745167815.018493,4.721,-4.932,7.044,-34.986,-30.844,-78.904,0.65213,-0.38748,-0.01077,-0.65143
1745167815.018493,4.721,-4.932,7.044,-34.991,-30.822,-78.843,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0194905,4.884,-5.028,6.948,-35.008,-30.833,-78.788,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0194905,4.884,-5.028,6.948,-35.024,-30.839,-78.734,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0194905,5.042,-4.865,6.819,-35.019,-30.85,-78.69,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0204914,5.042,-4.865,6.819,-35.008,-30.855,-78.651,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0204914,4.817,-4.875,7.029,-35.008,-30.861,-78.613,0.65213,-0.38748,-0.01077,-0.65143
1745167815.0214922,4.817,-4.875,7.029,-35.002,-30.866,-78.574,0.65213,-0.38748,-0.01077,-0.65143
