address,timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
F3:89:79:49:6C:B3,1748784600.8515358,-6.206,4.75,6.78,33.239,32.783,98.031,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.440015,-5.986,4.808,6.57,33.234,32.8,98.058,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4687629,-5.986,4.808,6.57,33.212,32.789,98.091,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4687629,-5.918,4.626,7.044,33.168,32.778,98.113,0.66418,-0.02039,0.3822,0.64206
C3:16:82:EF:1B:48,1748784601.4687629,-6.014,4.999,6.292,39.798,33.695,23.225,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4751122,-6.024,5.037,6.771,39.787,33.717,23.192,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.476127,-6.024,5.037,6.771,39.781,33.745,23.159,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.476127,-6.699,4.985,6.488,39.721,33.745,23.121,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.476127,-6.699,4.985,6.488,39.655,33.75,23.077,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4771266,-6.795,4.721,5.871,39.6,33.761,23.011,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4771266,-6.795,4.721,5.871,39.54,33.777,22.939,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4771266,-6.603,4.851,6.148,39.507,33.794,22.841,0.90149,0.26529,0.32913,0.09232
F3:89:79:49:6C:B3,1748784601.4781265,-5.918,4.626,7.044,33.113,32.772,98.13,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4781265,-5.741,4.492,7.092,33.074,32.767,98.13,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4781265,-5.741,4.492,7.092,33.047,32.772,98.124,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.479125,-5.526,4.721,6.828,33.019,32.778,98.097,0.66418,-0.02039,0.3822,0.64206
C3:16:82:EF:1B:48,1748784601.479125,-6.603,4.851,6.148,39.468,33.81,22.747,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.479125,-6.412,5.085,6.349,39.419,33.849,22.632,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.479125,-6.412,5.085,6.349,39.37,33.882,22.516,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.479125,-6.603,4.784,5.962,39.337,33.959,22.418,0.90149,0.26529,0.32913,0.09232
F3:89:79:49:6C:B3,1748784601.479125,-5.526,4.721,6.828,32.981,32.783,98.058,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.479125,-5.794,4.736,7.058,32.943,32.805,98.026,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.479125,-5.794,4.736,7.058,32.904,32.844,97.993,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.479125,-6.412,4.367,7.116,32.888,32.882,97.965,0.66418,-0.02039,0.3822,0.64206
C3:16:82:EF:1B:48,1748784601.479125,-6.603,4.784,5.962,39.304,34.03,22.319,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.479125,-6.005,4.487,6.019,39.315,34.063,22.225,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4833875,-6.005,4.487,6.019,39.326,34.091,22.137,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4833875,-5.291,4.391,6.239,39.375,34.074,22.11,0.90149,0.26529,0.32913,0.09232
F3:89:79:49:6C:B3,1748784601.4844017,-6.412,4.367,7.116,32.893,32.926,97.943,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-5.976,4.3,6.761,32.91,32.932,97.938,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-5.976,4.3,6.761,32.953,32.904,97.943,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-5.119,3.994,6.804,33.003,32.882,97.976,0.66418,-0.02039,0.3822,0.64206
C3:16:82:EF:1B:48,1748784601.4854052,-5.291,4.391,6.239,39.419,34.058,22.083,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4854052,-6.632,4.659,6.369,39.457,34.052,22.055,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4854052,-6.632,4.659,6.369,39.49,34.047,22.033,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4854052,-6.795,4.836,6.172,39.49,34.107,21.94,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4854052,-6.795,4.836,6.172,39.49,34.167,21.846,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4854052,-5.981,4.597,6.388,39.49,34.184,21.736,0.90149,0.26529,0.32913,0.09232
C3:16:82:EF:1B:48,1748784601.4854052,-5.981,4.597,6.388,39.496,34.206,21.627,0.90216,0.26495,0.33258,0.07211
C3:16:82:EF:1B:48,1748784601.4854052,-5.713,4.745,6.785,39.501,34.113,21.55,0.90216,0.26495,0.33258,0.07211
F3:89:79:49:6C:B3,1748784601.4854052,-5.119,3.994,6.804,33.058,32.849,98.031,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-5.124,4.587,6.881,33.091,32.844,98.058,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-5.124,4.587,6.881,33.107,32.855,98.058,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-6.172,4.506,7.082,33.118,32.877,98.036,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-6.172,4.506,7.082,33.124,32.915,97.998,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-6.474,4.281,6.967,33.135,32.844,97.982,0.66418,-0.02039,0.3822,0.64206
F3:89:79:49:6C:B3,1748784601.4854052,-6.474,4.281,6.967,33.146,32.778,97.965,0.66409,-0.02472,0.38409,0.64087
