address,timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
F3:89:79:49:6C:B3,1748091864.5257998,0.311,-8.418,5.2,-62.271,0.247,-31.63,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.533766,0.321,-8.15,5.181,-62.221,0.231,-31.608,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.533766,0.321,-8.15,5.181,-62.177,0.209,-31.586,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.533766,0.407,-8.207,5.219,-62.161,0.225,-31.569,0.82108,-0.49713,0.15259,-0.23508
C3:16:82:EF:1B:48,1748091864.5347762,1.484,-7.451,6.9,-51.724,-2.785,-55.854,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.5347762,1.288,-7.532,6.67,-51.685,-2.785,-55.86,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.5356953,1.288,-7.532,6.67,-51.669,-2.769,-55.86,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.5356953,1.073,-7.69,6.263,-51.658,-2.736,-55.876,0.78833,-0.39609,0.19052,-0.43036
F3:89:79:49:6C:B3,1748091864.5455027,0.407,-8.207,5.219,-62.139,0.236,-31.547,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.5455027,0.263,-8.308,5.128,-62.139,0.291,-31.558,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.5455027,0.263,-8.308,5.128,-62.139,0.346,-31.575,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.5455027,0.244,-8.432,5.1,-62.139,0.445,-31.624,0.82108,-0.49713,0.15259,-0.23508
C3:16:82:EF:1B:48,1748091864.558699,1.073,-7.69,6.263,-51.658,-2.686,-55.904,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.558699,1.178,-7.843,6.048,-51.658,-2.609,-55.948,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.558699,1.178,-7.843,6.048,-51.658,-2.516,-56.008,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.558699,1.369,-7.815,6.349,-51.658,-2.384,-56.096,0.78833,-0.39609,0.19052,-0.43036
F3:89:79:49:6C:B3,1748091864.575364,0.244,-8.432,5.1,-62.139,0.538,-31.679,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.575364,0.273,-8.432,5.186,-62.133,0.703,-31.778,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.575364,0.273,-8.432,5.186,-62.133,0.857,-31.882,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.575364,-0.019,-8.399,5.272,-62.144,1.038,-31.981,0.82108,-0.49713,0.15259,-0.23508
C3:16:82:EF:1B:48,1748091864.5910294,1.369,-7.815,6.349,-51.663,-2.225,-56.206,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.5910294,0.555,-7.776,6.46,-51.674,-2.06,-56.31,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.5910294,0.555,-7.776,6.46,-51.691,-1.879,-56.42,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.5910294,-0.273,-7.843,6.139,-51.718,-1.697,-56.536,0.78833,-0.39609,0.19052,-0.43036
F3:89:79:49:6C:B3,1748091864.6399462,-0.019,-8.399,5.272,-62.155,1.219,-32.086,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.7199662,-0.397,-8.384,5.219,-62.172,1.39,-32.201,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.7199662,-0.397,-8.384,5.219,-62.188,1.555,-32.316,0.82108,-0.49713,0.15259,-0.23508
F3:89:79:49:6C:B3,1748091864.7199662,-0.737,-8.437,5.219,-62.188,1.686,-32.421,0.82108,-0.49713,0.15259,-0.23508
C3:16:82:EF:1B:48,1748091864.7219822,-0.273,-7.843,6.139,-51.746,-1.522,-56.662,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.7219822,-0.555,-7.973,5.669,-51.762,-1.362,-56.788,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.723111,-0.555,-7.973,5.669,-51.779,-1.214,-56.915,0.78833,-0.39609,0.19052,-0.43036
C3:16:82:EF:1B:48,1748091864.7241104,-0.723,-7.944,5.55,-51.773,-1.104,-57.008,0.78833,-0.39609,0.19052,-0.43036
F3:89:79:49:6C:B3,1748091864.726105,-0.737,-8.437,5.219,-62.188,1.818,-32.52,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.726105,-0.776,-8.389,5.176,-62.161,1.884,-32.558,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.726105,-0.776,-8.389,5.176,-62.128,1.95,-32.591,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.726105,-0.843,-8.461,5.258,-62.062,1.928,-32.547,0.82425,-0.49234,0.15628,-0.23169
C3:16:82:EF:1B:48,1748091864.726105,-0.723,-7.944,5.55,-51.751,-1.022,-57.074,0.78851,-0.38779,0.20071,-0.43301
C3:16:82:EF:1B:48,1748091864.726105,-0.962,-8.04,5.459,-51.707,-0.983,-57.107,0.78851,-0.38779,0.20071,-0.43301
C3:16:82:EF:1B:48,1748091864.726105,-0.962,-8.04,5.459,-51.641,-0.983,-57.101,0.78851,-0.38779,0.20071,-0.43301
C3:16:82:EF:1B:48,1748091864.726105,-0.939,-7.805,5.904,-51.559,-1.022,-57.079,0.78851,-0.38779,0.20071,-0.43301
F3:89:79:49:6C:B3,1748091864.726105,-0.843,-8.461,5.258,-61.99,1.912,-32.503,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.726105,-0.723,-8.274,5.306,-61.891,1.813,-32.415,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.726105,-0.723,-8.274,5.306,-61.787,1.719,-32.333,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.726105,-0.287,-8.107,5.444,-61.683,1.593,-32.261,0.82425,-0.49234,0.15628,-0.23169
C3:16:82:EF:1B:48,1748091864.726105,-0.939,-7.805,5.904,-51.454,-1.093,-57.041,0.78851,-0.38779,0.20071,-0.43301
C3:16:82:EF:1B:48,1748091864.726105,-0.077,-7.518,6.517,-51.345,-1.181,-57.014,0.78851,-0.38779,0.20071,-0.43301
C3:16:82:EF:1B:48,1748091864.726105,-0.077,-7.518,6.517,-51.229,-1.28,-56.986,0.78851,-0.38779,0.20071,-0.43301
C3:16:82:EF:1B:48,1748091864.726105,1.034,-7.269,7.259,-51.13,-1.357,-57.008,0.78851,-0.38779,0.20071,-0.43301
F3:89:79:49:6C:B3,1748091864.757718,-0.287,-8.107,5.444,-61.578,1.472,-32.195,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.757718,0.177,-7.997,5.392,-61.501,1.406,-32.217,0.82425,-0.49234,0.15628,-0.23169
F3:89:79:49:6C:B3,1748091864.757718,0.177,-7.997,5.392,-61.425,1.335,-32.239,0.82425,-0.49234,0.15628,-0.23169
